Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;151;16301;60913;2023/003052;2024/004016;ÁREAS INFANTILES INTEGRACIÓN DISTRITO SALAMANCA. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);204;SALAMANCA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;87172,26;87172,26;0;0;87172,26;87172,26;87172,26;0;87172,26;
;;001;151;16301;60913;2023/003052;2024/004017;ÁREAS INFANTILES INTEGRACIÓN DISTRITO CHAMARTÍN. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);205;CHAMARTIN;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;60464,35;60464,35;0;0;60464,35;60464,35;60464,35;0;60464,35;
;;001;151;16301;60913;2023/003052;2024/004018;ÁREAS INFANTILES INTEGRACIÓN DISTRITO TETUÁN. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);206;TETUAN;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;63304,38;63304,38;0;0;63304,38;63304,38;63304,38;0;63304,38;
;;001;151;16301;60913;2023/003052;2024/004020;ÁREAS INFANTILES INTEGRACIÓN DISTRITO FUENCARRAL. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);208;FUENCARRAL-EL PARDO;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;134179,18;134179,18;0;0;134179,18;134179,18;134179,17;0;134179,17;
;;001;151;16301;60913;2023/003052;2024/004021;ÁREAS INFANTILES INTEGRACIÓN DISTRITO MONCLOA-ARAVACA. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);209;MONCLOA-ARAVACA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;79394,91;79394,91;0;0;79394,91;79394,91;79394,91;0;79394,91;
;;001;151;16301;60913;2023/003052;2024/004022;ÁREAS INFANTILES INTEGRACIÓN DISTRITO LATINA. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);210;LATINA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;141063,04;141063,04;0;0;141063,04;141063,04;141063,03;0;141063,03;
;;001;151;16301;60913;2023/003052;2024/004023;ÁREAS INFANTILES INTEGRACIÓN DISTRITO CARABANCHEL. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);211;CARABANCHEL;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;107289,82;107289,82;0;0;107289,82;107289,82;107289,82;0;107289,82;
;;001;151;16301;60913;2023/003052;2024/004024;ÁREAS INFANTILES INTEGRACIÓN DISTRITO USERA. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);212;USERA;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;62349,5;62349,5;0;0;62349,5;62349,5;62349,5;0;62349,5;
;;001;151;16301;60913;2023/003052;2024/004025;ÁREAS INFANTILES INTEGRACIÓN DISTRITO PUENTE VALLECAS. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);213;PUENTE DE VALLECAS;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;114393,43;114393,43;0;0;114393,43;114393,43;114393,42;0;114393,42;
;;001;151;16301;60913;2023/003052;2024/004026;ÁREAS INFANTILES INTEGRACIÓN DISTRITO MORATALAZ. TRANSFORMACIÓN E INSTALACIÓN (ID 21: 17328);214;MORATALAZ;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;;;;;18;PRESUPUESTOS PARTICIPATIVOS;0;188618,34;188618,34;0;0;188618,34;188618,34;188618,33;0;188618,33;
